date,holiday_name,day_of_week,month,is_federal
2025-01-01,New Year's Day,Wednesday,January,True
2025-01-20,Martin Luther King Jr. Day,Monday,January,True
2025-02-17,Washington's Birthday,Monday,February,True
2025-05-26,Memorial Day,Monday,May,True
2025-06-19,Juneteenth National Independence Day,Thursday,June,True
2025-07-04,Independence Day,Friday,July,True
2025-09-01,Labor Day,Monday,September,True
2025-10-13,Columbus Day,Monday,October,True
2025-11-11,Veterans Day,Tuesday,November,True
2025-11-27,Thanksgiving Day,Thursday,November,True
2025-12-25,Christmas Day,Thursday,December,True
